train_acc,train_loss,val_acc,val_loss
0.03444210526315789,4.4050665,0.0544,4.281916
0.04707368421052633,4.1934314,0.055200000000000006,4.180175
0.05357894736842106,4.1273217,0.022000000000000002,4.9624586
0.05909473684210526,4.0748763,0.0792,3.9754174
0.06557894736842106,4.025161,0.0724,3.981147
0.07269473684210527,3.9735491,0.07880000000000001,3.9295564
0.0840842105263158,3.8986216,0.0992,3.7759128
0.09724210526315791,3.815443,0.0848,3.864644
0.11349473684210529,3.7210608,0.1232,3.612514
0.1323578947368421,3.6108649,0.1548,3.4999673
0.1501473684210526,3.5172522,0.10759999999999997,3.7741065
0.16543157894736846,3.4115608,0.18719999999999998,3.2299528
0.17905263157894735,3.3339965,0.1744,3.3772576
0.19119999999999998,3.2765245,0.19400000000000003,3.2204537
0.20437894736842105,3.2015393,0.2404,3.0310428
0.2135578947368421,3.1428907,0.1656,3.30549
0.2249684210526316,3.0913513,0.2432,2.944393
0.23911578947368423,3.0247102,0.2524,2.9163635
0.24947368421052632,2.9900901,0.1928,3.1668677
0.25322105263157896,2.9422333,0.29400000000000004,2.7730072
0.26734736842105267,2.902274,0.222,3.028688
0.2719157894736842,2.8756952,0.26799999999999996,2.8658175
0.2824421052631578,2.8380396,0.30519999999999997,2.6892998
0.2841894736842105,2.817207,0.2504,2.91966
0.2885684210526316,2.7928295,0.2984,2.6928155
0.3005263157894737,2.7513506,0.29200000000000004,2.737104
0.2980421052631579,2.7522178,0.24200000000000002,2.9370096
0.304378947368421,2.7240598,0.3172,2.59014
0.31155789473684214,2.698652,0.2924,2.7391655
0.30970526315789476,2.6992903,0.28320000000000006,2.761966
0.31869473684210525,2.6675916,0.336,2.5078552
0.3217684210526316,2.6571164,0.242,2.959838
0.32284210526315793,2.6540585,0.3368,2.6081939
0.32829473684210525,2.6337419,0.32199999999999995,2.5666718
0.32831578947368417,2.6306002,0.2732,2.8387775
0.33054736842105265,2.6167758,0.35440000000000005,2.4740202
0.3349263157894737,2.597172,0.26839999999999997,2.8738062
0.33033684210526315,2.615329,0.2988,2.6837478
0.3357894736842105,2.5890253,0.3696,2.4309552
0.33768421052631575,2.583405,0.2244,3.246336
0.3374315789473684,2.585961,0.34840000000000004,2.4874787
0.3415578947368421,2.5636806,0.31360000000000005,2.6470947
0.34178947368421053,2.5705712,0.28640000000000004,2.6728404
0.34570526315789474,2.5620315,0.37439999999999996,2.398457
0.3486736842105263,2.5498905,0.28800000000000003,2.774987
0.3433473684210526,2.5581381,0.3008,2.6748617
0.35063157894736846,2.52955,0.37200000000000005,2.4018273
0.34997894736842106,2.531005,0.24359999999999998,2.9327407
0.3494526315789474,2.5399415,0.34680000000000005,2.5032454
0.35368421052631577,2.5176105,0.358,2.4079964
0.3523157894736842,2.5261447,0.262,2.9222794
0.3504842105263158,2.5140831,0.36800000000000005,2.3752174
0.3563157894736842,2.506091,0.2728,2.911378
0.3561684210526316,2.5199053,0.2968,2.6873171
0.3576842105263157,2.4963343,0.376,2.3631966
0.3571368421052632,2.4980724,0.304,2.7465115
0.3586736842105263,2.5000448,0.3472,2.4813516
0.3622105263157895,2.4846396,0.3556,2.406432
0.3590526315789474,2.495807,0.2692,2.8264408
0.3606526315789474,2.4851778,0.39000000000000007,2.3456051
0.3645052631578948,2.474495,0.3124,2.6061802
0.36256842105263165,2.4833713,0.3236,2.5821817
0.36614736842105267,2.468884,0.38359999999999994,2.3191273
0.36772631578947373,2.4671824,0.2772,2.7694843
0.3654947368421053,2.466509,0.3624,2.4182272
0.37021052631578943,2.4535577,0.3628,2.4267967
0.36557894736842106,2.4655905,0.29319999999999996,2.6923828
0.3660421052631579,2.4572666,0.39239999999999997,2.2898395
0.37143157894736845,2.447021,0.2736,2.9274201
0.3665894736842105,2.462687,0.306,2.7513807
0.3708631578947369,2.4410715,0.3924,2.2961006
0.3707157894736842,2.450169,0.2652,2.9175882
0.3696,2.4532282,0.3776,2.357567
0.3750736842105264,2.433953,0.37199999999999994,2.4038632
0.37021052631578943,2.4522996,0.2504,2.9862597
0.3729263157894737,2.4371927,0.39120000000000005,2.3205538
0.37745263157894743,2.4308197,0.2972,2.7714176
0.3697263157894737,2.4480135,0.3488,2.5231466
0.3773894736842105,2.4171822,0.3904000000000001,2.2651904
0.37425263157894734,2.431991,0.26,2.94348
0.3741052631578947,2.438622,0.37400000000000005,2.3573806
0.37955789473684215,2.4132566,0.3852,2.3371592
0.37524210526315793,2.428699,0.31679999999999997,2.6597297
0.37787368421052636,2.4247038,0.39799999999999996,2.276297
0.3790105263157894,2.4111874,0.23520000000000002,2.9969144
0.3766736842105263,2.427398,0.3336,2.5964255
0.3794105263157895,2.40613,0.3928000000000001,2.2823348
0.3806105263157895,2.4100418,0.262,2.953141
0.3792842105263158,2.4168956,0.38159999999999994,2.3496497
0.3846315789473684,2.3936534,0.396,2.3231852
0.3790315789473684,2.4171135,0.2464,3.132725
0.38,2.4101481,0.40399999999999997,2.2478433
0.38090526315789475,2.3916209,0.33759999999999996,2.5550365
0.37896842105263157,2.4134858,0.3492,2.505516
0.38581052631578944,2.3976238,0.41,2.2383914
0.3854105263157895,2.399801,0.3096,2.6761205
0.3819157894736842,2.4088109,0.402,2.2779517
0.387621052631579,2.3812797,0.37,2.4149942
0.38239999999999996,2.4028714,0.3136,2.686603
0.3819368421052632,2.3955371,0.4104,2.2201865
